Sentiment,News
neutral,according gran company plan move production russia although company growing
positive,last quarter 2010 componenta net sale doubled eur131m eur76m period year earlier moved zero pretax profit pretax loss eur7m
positive,third quarter 2010 net sale increased 52 eur 2055 mn operating profit 349 eur 235 mn
positive,operating profit rose eur 131 mn eur 87 mn corresponding period 2007 representing 77 net sale
positive,operating profit totalled eur 211 mn eur 186 mn 2007 representing 97 net sale
positive,finnish talentum report operating profit increased eur 205 mn 2005 eur 93 mn 2004 net sale totaled eur 1033 mn eur 964 mn
positive,clothing retail chain seppñlñ sale increased 8 eur 1552 mn operating profit rose eur 311 mn eur 171 mn 2004
positive,consolidated net sale increased 16 reach eur74 8 operating profit amounted eur0 9 compared loss eur0 7 prior year period
positive,foundry division report sale increased 97 eur 631 mn eur 575 mn corresponding period 2006 sale machine shop division increased 164 eur 412 mn eur 354 mn corresponding period 2006
positive,helsinki afx share closed higher led nokia announced plan team sanyo manufacture 3g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said
positive,board director propose dividend eur0 12 per share 2010 eur0 08 per share paid 2009
positive,megafon subscriber base increased 161 2009 505 million user december 31 market share number customer amounted 24 late 2009 23 late 2008 according teliasonera estimate
positive,net income life insurance doubled eur 68 mn eur 32 mn net income nonlife insurance rose eur 52 mn eur 15 mn corresponding period 2009
positive,net sale increased eur193 3 eur179 9 pretax profit rose 342 eur43 1 eur1 usd1 4
positive,net sale surged 185 eur167 8 teleste said eur20 4 122 sale came acquisition made 2009
positive,nordea group operating profit increased 2010 18 percent yearonyear 364 billion euro total revenue 3 percent 933 billion euro
positive,operating profit ninemonth period increased eur13 6 net sale increased eur394 7 compared corresponding period 2005
positive,operating profit threemonth period increased eur1 2 revenue increased eur20 2 compared corresponding period 2005
positive,company net profit rose 114 year 822 million euro 2005 sale 6865 million euro 138 year company said earlier
positive,lithuanian beer market made 1441 million liter january rise 08 percent yearearlier figure lithuanian brewer association reporting citing result member
positive,viking line cargo revenue increased 54 eur 2146 mn cargo volume increased 24 70116 cargo unit
positive,fair value property portfolio doubled result kapiteeli acquisition totalled eur 26862 12597 million
positive,10 february 2011 finnish medium company sanoma oyj hel saa1v said yesterday 2010 net profit almost tripled eur297 3 eur107 1 2009 announced proposal raised payout
positive,helsinki eliiv today reported eps eur1 13 2009 increase eps eur1 12 2008
positive,commission income increased 22 eur 44 mn lending volume rose 135
positive,january traffic measured revenue passenger kilometre rpk went 32 capacity measured available seat kilometre ask rose 122
positive,januaryseptember 2010 fiskars net profit went 14 yearonyear eur 654 million net sale eur 5253 million eur 4877 million
positive,net income life insurance rose eur 165 mn eur 140 mn net income nonlife insurance eur 226 mn eur 152 mn 2009
positive,sale risen export market
positive,sale increased due growing market rate increased operation
positive,agreement strengthens longterm partnership nokia siemens network
positive,company order book stood 15 bln euro 22 bln september 30 2007 242 pct year international order amounting 365 mln euro 5343 mln
positive,company said paper demand increased main market including publication paper increased average paper price 4 percent compared last year
positive,world second largest stainless steel maker said net profit threemonth period dec 31 surged euro603 million u 781 million euro3 33 u 431 per share euro172 million euro0 94 per share previous year
positive,share standard chartered stan rose 12 ftse 100 royal bank scotland rb share rose 2 barclays share barc bcs 17
positive,share nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased
positive,financial report published friday seb said net profit soared sek6 745 bn 2010 yearearlier sek1 114 bn proposed 50 dividend increase sek1 50 per share
neutral,request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics drawn future scenario finland national economy using model developed university denver
neutral,stock exchange announcement 20 july 2006 1 1 basware share subscription warrant increase share capital total 119 850 share subscribed basware warrant program
neutral,maximum 666104 new share subscribed exercising b option 2004 stock option plan
neutral,tiimari operates 194 store six country including core finnish market generated turnover 765 mln eur 2005
positive,acquisition considerably increase kemira sale market position russian metal industry coating market
positive,januaryseptember 2007 finnlines net sale rose eur 5054 mn eur 4735 mn corresponding period 2006
positive,adjusted change group structure division net sale increased 17
positive,4 february 2011 finnish broadband data communication system provider teleste oyj hel tlt1v saw net profit jump eur2 1 last quarter 2010 eur995 000 period 2009
positive,finnish aktia group operating profit rose eur 175 mn first quarter 2010 eur 82 mn first quarter 2009
positive,finnish bank àland consolidated net operating profit increased eur 48 mn first quarter 2005 eur 64 mn first quarter 2006
positive,finnish financial group aktia report operating profit eur 444 mn januaryseptember 2009 eur 373 mn corresponding period 2008
positive,finnish high technology provider vaahto group report net sale eur 418 mn accounting period september 2007 february 2008 increase 112 year earlier
positive,net sale finnish food industry company lñnnen tehtaat continuing operation increased 13 2008 eur 3491 mn eur 3096 mn 2007
positive,biohit already service many current genesis customer customer base expected expand result agreement
positive,operating profit turnover threemonth period increased respectively eur0 9 eur8 3 compared corresponding period 2005
positive,circulation revenue increased 5 finland 4 sweden 2008
positive,clothing chain seppñlñ net sale increased 70 eur 308 mn
positive,construction volume meanwhile grow rate 1015 percent annually
positive,however biohit estimate total net sale continue grow 2009 favourable trend net sale lead profit 2009
positive,2009 fiskars cash flow operating activity amounted eur121m eur97m previous year
positive,lithuania operating profit rose eur 190000 eur 70000 corresponding period 2005
positive,fourth quarter 2008 net sale increased 2 eur 10507 mn eur 10270 mn fourth quarter 2007
positive,international sale rose 598 eur 12444 mn
positive,net sale grew period x20ac 402 million 585us million x20ac 401 million 2006
positive,net sale increased eur655m april june 2010 eur438m year earlier
positive,net sale rose 255 yearonyear eur59 6 number charger delivered went 41 659 million piece
positive,net sale totaled eur 936 mn eur 932 mn corresponding period 2005
positive,operating profit increased 1451 eur 83 mn eur 34 mn
positive,operating profit margin increased 112 117
positive,operating profit rose eur 311 mn eur 122 mn corresponding period 2009
positive,operating profit rose eur 5mn eur 28 mn fourth quarter 2008
positive,operating profit eur 245 mn eur 230 mn
positive,ramirent net sale second quarterended june 30 euro 1287 million u 163 million 33percent increase compared euro 1246 million thesecond quarter last year
positive,revenue grew 2 percent x20ac 580 million 743 million x20ac 569 million
positive,ruukki delivery volume selling price showed favourable development company comparable net sale grew 50 yearonyear eur647m ceo sakari tamminen said
positive,company consolidated operating profit amounted eur 1586 mn eur 414 mn yearonyear
positive,department store division reported increase sale 4 per cent
positive,fair value company investment property grew eur 2803 billion end march 2009 eur 2691 million year ago
positive,last quarter best quarter 2009 net sale operating margin rose 122
positive,major brewery increased domestic beer sale 45 per cent last year 25688 million litre 24592 million litre 2004
positive,operating profit rose 269 eur 1058 834 million
positive,21 october 2010 finnish fishing tackle company rapala vmc corp hel rap1v said today net profit rose eur18 9 first nine month 2010 eur15 1 period year earlier
positive,according finnish metso mineral value company order gone eur 19 bn 12 month
positive,finnish bank àland report operating profit rose eur 213 mn second quarter 2009 eur 61 mn corresponding period 2008
positive,finnish financial group aktia operating profit 2009 increased eur 470 mn eur 66 mn 2008
positive,finnish forest machinery manufacturer ponsse net sale grew eur 513 mn first quarter 2010 eur 375 mn corresponding period 2009
positive,finnish kci konecranes raised net sale growth estimate 2006 25 35
positive,according hkscan finland plan increase jñrvisuomen portti net sale eur 80mn eur 100mn
positive,advertising circulation revenue grew 34 04 respectively
positive,end march 2007 group order book eur 396 mn 42 corresponding period 2006
positive,time profit company increased 10 h1 reached l 79000
positive,operating profit net sale 12month period increased respectively eur10 5 eur28 8 compared financial year 2004
positive,operating profit net sale 12month period increased respectively eur20 8 eur177 7 compared financial year 2004
positive,operating profit net sale 12month period increased respectively eur21 5 eur196 1 compared 2005
positive,operating profit net sale 12month period increased respectively eur4 7 eur26 7 compared 2004
positive,operating profit net sale ninemonth period increased respectively 266 34 compared corresponding period 2006
positive,operating profit net sale sixmonth period increased respectively eur13 8 eur143 6 compared corresponding period 2007
positive,operating profit net sale sixmonth period increased respectively eur0 4 eur3 2 compared corresponding period 2005
positive,operating profit net sale sixmonth period increased respectively eur18 1 eur127 6 compared corresponding period 2006
positive,operating profit net sale sixmonth period increased respectively eur7 5 eur655 5 compared corresponding period 2005
positive,operating profit net sale threemonth period increased respectively eur15 1 eur131 5 compared corresponding period 2005
positive,operating profit net sale threemonth period increased respectively eur16 0 eur139m compared corresponding quarter 2006
positive,operating profit sale threemonth period increased respectively eur0 3 eur13 1 compared corresponding period 2005
positive,operating profit turnover ninemonth period increased respectively eur2 4 eur43 8 compared corresponding period year ago
positive,operating profit turnover sixmonth period increased respectively eur17 6 eur1149 9 compared corresponding period 2007
positive,operating profit turnover sixmonth period increased respectively eur0 1 eur29 0 compared corresponding period year ago
positive,cargo volume increased approximately 5
positive,comparable operating profit totaled eur 854mn eur 730mn 2004
positive,digia said consolidated net sale januaryjune 2010 eur67 8 97 period 2009 eur61 9
positive,diluted earnings per share eps rose eur 029 eur 005
positive,diluted earnings per share eps rose eur 052 versus eur 009
positive,diluted earnings per share eps rose eur 105 eur 064
positive,diluted earnings per share eps rose eur 368 eur 050
positive,diluted eps rose eur3 68 eur0 50
positive,ebit margin 14 51
positive,eps continuing operation came 030 eur 017
positive,equity ratio 609 compared 542 third quarter 2007 net sale frozen food business totaled eur 110 5 third quarter 2006
