Sentiment,News
neutral,according gran company plan move production russia although company growing
neutral,technopolis plan develop stage area le 100000 square meter order host company working computer technology telecommunication statement said
negative,international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contracted rank office worker daily postimees reported
positive,new production plant company would increase capacity meet expected increase demand would improve use raw material therefore increase production profitability
positive,according company updated strategy year 20092012 basware target longterm net sale growth range 20 40 operating profit margin 10 20 net sale
positive,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit board pcbs
positive,last quarter 2010 componenta net sale doubled eur131m eur76m period year earlier moved zero pretax profit pretax loss eur7m
positive,third quarter 2010 net sale increased 52 eur 2055 mn operating profit 349 eur 235 mn
positive,operating profit rose eur 131 mn eur 87 mn corresponding period 2007 representing 77 net sale
positive,operating profit totalled eur 211 mn eur 186 mn 2007 representing 97 net sale
positive,teliasonera tlsn said offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer
positive,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value share four largest nordic forestry group
positive,purchase agreement 7200 ton gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight u dollar per month
positive,finnish talentum report operating profit increased eur 205 mn 2005 eur 93 mn 2004 net sale totaled eur 1033 mn eur 964 mn
positive,clothing retail chain seppñlñ sale increased 8 eur 1552 mn operating profit rose eur 311 mn eur 171 mn 2004
positive,consolidated net sale increased 16 reach eur74 8 operating profit amounted eur0 9 compared loss eur0 7 prior year period
positive,foundry division report sale increased 97 eur 631 mn eur 575 mn corresponding period 2006 sale machine shop division increased 164 eur 412 mn eur 354 mn corresponding period 2006
positive,helsinki afx share closed higher led nokia announced plan team sanyo manufacture 3g handset nokian tyre fourthquarter earnings report beat analyst expectation dealer said
positive,incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue 20072008
positive,board director propose dividend eur0 12 per share 2010 eur0 08 per share paid 2009
positive,lifetree founded 2000 revenue risen average 40 margin late 30
positive,filippova trilateral agreement investment construction technology park st petersburg signed course forum day russian economy opened helsinki today
positive,megafon subscriber base increased 161 2009 505 million user december 31 market share number customer amounted 24 late 2009 23 late 2008 according teliasonera estimate
positive,net income life insurance doubled eur 68 mn eur 32 mn net income nonlife insurance rose eur 52 mn eur 15 mn corresponding period 2009
